user_id,product_id,timestamp
1,41,2025-10-26 04:31:58
1,40,2025-10-26 04:57:16
1,54,2025-11-03 00:59:56
1,55,2025-11-03 01:09:07
1,41,2025-11-03 01:13:14
1,51,2025-11-03 01:19:02
1,53,2025-11-03 01:19:28
1,54,2025-11-03 01:19:57
1,53,2025-11-03 01:20:41
1,41,2025-11-03 01:21:19
1,40,2025-11-03 01:21:19
1,44,2025-11-03 01:21:19
1,45,2025-11-03 01:21:19
1,50,2025-11-03 01:21:54
1,52,2025-11-03 01:21:54
1,52,2025-11-03 01:29:37
1,50,2025-11-03 01:30:39
1,44,2025-11-03 01:30:58
1,40,2025-11-03 01:30:58
1,54,2025-11-03 01:31:18
1,55,2025-11-03 01:31:18
1,54,2025-11-03 01:32:25
1,52,2025-11-03 01:32:25
1,52,2025-11-03 01:33:35
1,51,2025-11-03 01:33:35
1,44,2025-11-03 01:33:54
1,56,2025-11-03 01:33:54
1,44,2025-11-03 01:34:09
1,56,2025-11-03 01:34:09
1,51,2025-11-03 01:53:38
1,54,2025-11-03 01:53:57
1,51,2025-11-05 00:01:25
1,50,2025-11-23 10:07:39
1,39387,2025-11-23 23:59:58
1,39388,2025-11-24 00:01:11
2,44,2025-11-03 01:58:47
2,53,2025-11-03 01:59:39
2,51,2025-11-03 02:00:09
2,53,2025-11-03 02:00:09
2,54,2025-11-03 02:00:31
2,55,2025-11-03 02:00:31
2,54,2025-11-03 02:00:44
2,44,2025-11-03 02:05:21
2,44,2025-11-03 02:05:51
2,52,2025-11-03 02:06:08
2,54,2025-11-03 02:06:53
2,54,2025-11-03 02:07:33
2,44,2025-11-03 02:15:25
2,44,2025-11-03 02:19:19
2,52,2025-11-03 02:21:04
2,51,2025-11-03 02:21:29
2,53,2025-11-03 02:21:29
2,50,2025-11-03 02:22:05
3,52,2025-11-03 02:25:34
3,44,2025-11-03 02:25:48
3,54,2025-11-03 03:27:47
3,44,2025-11-03 07:38:38
3,56,2025-11-03 07:38:38
3,44,2025-11-03 08:27:30
3,54,2025-11-04 19:31:02
4,39388,2025-11-24 00:02:38
4,1685,2025-11-24 00:15:14
4,5575,2025-11-24 00:15:14
4,39388,2025-11-24 01:47:02
4,39387,2025-11-24 01:47:02
4,39389,2025-11-24 01:50:44
4,39390,2025-11-24 01:52:49
5,39387,2025-11-27 09:38:48
5,39388,2025-11-29 21:29:16
5,853,2025-12-03 19:40:06
5,39387,2026-02-11 03:32:03
5,40053,2026-02-11 03:32:03
5,40088,2026-02-11 03:32:03
5,40034,2026-02-11 03:32:03
5,40032,2026-02-11 03:32:03
5,40027,2026-02-11 03:32:03
5,40027,2026-02-11 03:32:30
5,39387,2026-02-23 01:52:39
5,40311,2026-03-02 01:57:45
5,40295,2026-03-02 01:57:45
5,40207,2026-03-02 01:57:45
5,40033,2026-03-02 01:57:45
5,40105,2026-03-11 14:00:58
5,40070,2026-03-11 14:01:43
5,40105,2026-03-11 14:02:09
6,40510,2025-12-16 13:00:00
6,40370,2025-12-16 15:00:00
6,40194,2025-12-17 13:00:00
6,40363,2025-12-19 21:00:00
6,40512,2025-12-21 18:00:00
6,40094,2025-12-23 07:00:00
6,40272,2025-12-24 04:00:00
6,40204,2025-12-25 09:00:00
6,40173,2025-12-27 06:00:00
6,40274,2025-12-27 21:00:00
6,40144,2025-12-28 10:00:00
6,40168,2025-12-30 12:00:00
6,40218,2025-12-31 02:00:00
6,40182,2026-01-02 01:00:00
6,40310,2026-01-03 23:00:00
6,40195,2026-01-05 10:00:00
6,40178,2026-01-05 17:00:00
6,40270,2026-01-08 05:00:00
6,40433,2026-01-11 03:00:00
6,40192,2026-01-11 20:00:00
6,40568,2026-01-13 22:00:00
6,40388,2026-01-14 10:00:00
6,40328,2026-01-17 10:00:00
7,40129,2025-12-28 19:00:00
7,40574,2025-12-29 04:00:00
7,40086,2025-12-30 11:00:00
7,40556,2025-12-30 17:00:00
7,40319,2026-01-01 11:00:00
7,40267,2026-01-03 16:00:00
7,40694,2026-01-05 04:00:00
7,40067,2026-01-05 14:00:00
7,40343,2026-01-06 19:00:00
7,40443,2026-01-08 13:00:00
7,40637,2026-01-09 18:00:00
7,40461,2026-01-12 11:00:00
7,40325,2026-01-14 15:00:00
7,40327,2026-01-17 03:00:00
7,40469,2026-01-17 23:00:00
7,40182,2026-01-19 10:00:00
7,40482,2026-01-20 05:00:00
7,40499,2026-01-21 14:00:00
7,40194,2026-01-24 12:00:00
